商品名稱,,價格,商品類型,顯示菜單,狀態,開賣時間,稀有度,上市時間,代理商,熱賣,獎項1名稱,獎項1等級,獎項1數量,獎項1圖片名稱,獎項2名稱,獎項2等級,獎項2數量,獎項2圖片名稱,獎項3名稱,獎項3等級,獎項3數量,獎項3圖片名稱,獎項4名稱,獎項4等級,獎項4數量,獎項4圖片名稱,獎項5名稱,獎項5等級,獎項5數量,獎項5圖片名稱,獎項6名稱,獎項6等級,獎項6數量,獎項6圖片名稱,獎項7名稱,獎項7等級,獎項7數量,獎項7圖片名稱,獎項8名稱,獎項8等級,獎項8數量,獎項8圖片名稱,獎項9名稱,獎項9等級,獎項9數量,獎項9圖片名稱,獎項10名稱,獎項10等級,獎項10數量,獎項10圖片名稱,獎項11名稱,獎項11等級,獎項11數量,獎項11圖片名稱,獎項12名稱,獎項12等級,獎項12數量,獎項12圖片名稱,獎項13名稱,獎項13等級,獎項13數量,獎項13圖片名稱,獎項14名稱,獎項14等級,獎項14數量,獎項14圖片名稱,獎項15名稱,獎項15等級,獎項15數量,獎項15圖片名稱,獎項16名稱,獎項16等級,獎項16數量,獎項16圖片名稱,獎項17名稱,獎項17等級,獎項17數量,獎項17圖片名稱,獎項18名稱,獎項18等級,獎項18數量,獎項18圖片名稱,獎項19名稱,獎項19等級,獎項19數量,獎項19圖片名稱,獎項20名稱,獎項20等級,獎項20數量,獎項20圖片名稱
轉蛋 小小兵BelloWorld環遊世界,,120.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,武將 (日本),轉蛋,1,prize_1.jpg,小籠包 (中國),轉蛋,1,prize_2.jpg,國王 (英國),轉蛋,1,prize_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 哆啦A夢 ~永遠與你同在~,,365.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 Revible Moment -來自遙遠的未來-,A賞,1,prize_1.jpg,B賞 四次元口袋收納毯,B賞,2,prize_2.jpg,C賞 絨毛玩偶吊飾,C賞,4,prize_3.jpg,D賞 秘密道具迷你模型,D賞,8.0,prize_4.jpg,最後賞 Revible Moment -要永遠在一起喔-,最後賞,1.0,prize_5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 潮玩賞 iPhone 17 Pro x AirPods Pro 3,,199.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,iPhone 17 Pro 256G,A賞,1,prize_1.jpg,AirPods Pro 3,B賞,2,prize_2.jpg,隨機高品質扭蛋,D賞,200,prize_3.jpg,潮玩大禮包,最後賞,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 幽☆遊☆白書 暗黒武術会編 vol.3,,380.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 浦飯幽助 模型,A賞,2,prize_1.jpg,B賞 桑原和真 模型,B賞,1,prize_2.jpg,C賞 飛影 模型,C賞,2,prize_3.jpg,D賞 小閻王 模型,D賞,1.0,prize_4.jpg,E賞 幻海 模型,E賞,1.0,prize_5.jpg,最後賞 妖狐藏馬 模型,最後賞,1.0,prize_6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轉蛋 蠟筆小新等待中公仔 P6,,135.0,轉蛋,,上架,2024/03/06 12:00,5,2024-10,代理商,是,野原新之助 (睡衣),轉蛋,1,prize_1.jpg,妮妮 (Nene),轉蛋,1,prize_2.jpg,風間 (Kazama),轉蛋,1,prize_3.jpg,正男 (Masao),轉蛋,1.0,prize_4.jpg,阿呆 (Bo),轉蛋,1.0,prize_5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 《貓福珊迪》 ~與貓咪們的睡衣派對~,,360.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 貓咪晚安造型室內燈,A賞,2,prize_1.jpg,B賞 慵懶放鬆貓咪玩偶,B賞,2,prize_2.jpg,C賞 滿滿晚安馬克杯,C賞,3,prize_3.jpg,D賞 貓咪造型陶瓷碗,D賞,4.0,prize_4.jpg,最後賞 沙發造型面紙套,最後賞,1.0,prize_5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 J'code 真愛密碼 大三元黃金開運麻將,,168.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,真愛密碼黃金麻將－中,A賞,1,prize_1.jpg,真愛密碼黃金麻將－發,B賞,1,prize_2.jpg,真愛密碼黃金麻將－白,C賞,1,prize_3.jpg,隨機高品質扭蛋,D賞,168.0,prize_4.jpg,隨機一番賞小賞,E賞,495.0,prize_5.jpg,豪華黃金大禮包,最後賞,1.0,prize_6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 《P5R 女神異聞錄5 皇家版》,,420.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 Joker (通常服) 模型,A賞,2,prize_1.jpg,B賞 明智吾郎 模型,B賞,1,prize_2.jpg,D賞 百科全書造型書盒,D賞,1,prize_3.jpg,最後賞 Joker (怪盜服) 模型,最後賞,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 《海賊王EX》惡魔的寄宿者們 vol.3,,360.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 蒙其·D·魯夫 (5檔) 魂豪示像,A賞,2,prize_1.jpg,B賞 喬巴 魂豪示像,B賞,2,prize_2.jpg,C賞 皮耶爾 模型,C賞,1,prize_3.jpg,D賞 黑瑪麗亞 魂豪示像,D賞,1.0,prize_4.jpg,最後賞 戰國 (金身大佛) 魂豪示像,最後賞,1.0,prize_5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一番賞 潮玩賞 周大福 x 吉伊卡哇 &迪士尼 999.9黃金系列,,149.0,一番賞,,上架,2024/03/06 12:00,5,2024-10,代理商,是,A賞 周大福 999.9 黃金擺件,A賞,1,prize_1.jpg,B賞 黃金福袋,B賞,5,prize_2.jpg,隨機高品質扭蛋,D賞,200,prize_3.jpg,最後賞 豪華黃金禮盒,最後賞,1.0,prize_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
